iter	Logloss
0	0.6206036719
1	0.5672764648
2	0.5298263672
3	0.5043802083
4	0.4844782617
5	0.4678390788
6	0.4541215251
7	0.4404342171
8	0.4307794092
9	0.4232248112
10	0.4180463314
11	0.4123626221
12	0.4068552604
13	0.4019761084
14	0.3986023079
15	0.3931746745
16	0.3897836979
17	0.3872956266
18	0.3847257064
19	0.3814189697
20	0.3790209912
21	0.3755270426
22	0.3739526937
23	0.3717957731
24	0.3678755575
25	0.3657399211
26	0.3639112703
27	0.3613786011
28	0.359392124
29	0.3567920199
30	0.3553632349
31	0.3539581714
32	0.3526742008
33	0.3515454989
34	0.3501497046
35	0.3489251904
36	0.347856202
37	0.3457743066
38	0.3447637899
39	0.3437040405
40	0.3424709587
41	0.3416213363
42	0.3406585726
43	0.3395122884
44	0.338486744
45	0.3372420638
46	0.3358709546
47	0.3348696834
48	0.3337047111
49	0.3321449878
