iter	Passed	Remaining
0	153	7533
1	171	4106
2	191	3003
3	208	2402
4	228	2054
5	245	1802
6	270	1659
7	291	1530
8	310	1414
9	328	1312
10	348	1234
11	367	1163
12	385	1096
13	411	1057
14	429	1002
15	447	951
16	465	904
17	481	855
18	499	815
19	517	776
20	533	736
21	551	701
22	567	666
23	583	632
24	603	603
25	621	574
26	642	547
27	661	519
28	681	493
29	703	468
30	724	443
31	740	416
32	763	393
33	789	371
34	807	346
35	826	321
36	844	296
37	864	272
38	881	248
39	898	224
40	917	201
41	935	178
42	954	155
43	972	132
44	989	109
45	1006	87
46	1024	65
47	1041	43
48	1058	21
49	1076	0
