iter	Logloss
0	0.6244922412
1	0.5808400146
2	0.5558431201
3	0.5294436572
4	0.5140712354
5	0.4951086597
6	0.4789773364
7	0.4652221606
8	0.4579348535
9	0.4437970984
10	0.4370141809
11	0.4318219409
12	0.4282897644
13	0.4158730774
14	0.407889679
15	0.4019332971
16	0.3985663086
17	0.3945815906
18	0.3879061914
19	0.378335874
20	0.3756440906
21	0.3708795508
22	0.3619771545
23	0.3601005988
24	0.3582756006
25	0.3527231732
26	0.3503607959
27	0.3484919672
28	0.3478649487
29	0.3437524817
30	0.3402736383
31	0.3392406891
32	0.3370375232
33	0.3350463165
34	0.3329010406
35	0.3316437878
36	0.3300219617
37	0.3291035944
38	0.3266239282
39	0.3255886322
40	0.3248601434
41	0.3245413812
42	0.3236920673
43	0.3224062982
44	0.3221517053
45	0.3213870557
46	0.3205165851
47	0.3194536115
48	0.318935141
49	0.3179284363
50	0.3174921515
51	0.3173536194
52	0.317077912
53	0.3169738757
54	0.3157560144
55	0.3151746979
56	0.3147828595
57	0.314646875
58	0.3145216345
59	0.3135967737
60	0.3125891339
61	0.3121814682
62	0.3120800293
63	0.3118441653
64	0.3114793088
65	0.3106929547
66	0.310371955
67	0.3102089093
68	0.3101033661
69	0.3100210593
70	0.3095378854
71	0.3093098721
72	0.3091844543
73	0.3087230478
74	0.3086578882
75	0.3085745096
76	0.3081570157
77	0.3077204633
78	0.307257963
79	0.3071817651
80	0.3071137094
81	0.3070440451
82	0.3059709781
83	0.3058921179
84	0.305836799
85	0.3057746143
86	0.3056161798
87	0.305262272
88	0.305184696
89	0.3051015509
90	0.3048920926
91	0.3047399753
92	0.3046791449
93	0.3043121036
94	0.3042504199
95	0.3041890253
96	0.3040275223
97	0.3039801248
98	0.3039314551
99	0.3033277295
100	0.3032715433
101	0.3032251163
102	0.3031684323
103	0.3031301346
104	0.3028924939
105	0.30246
106	0.3021399274
107	0.3014172025
108	0.3013679456
109	0.3013084372
110	0.3010141437
111	0.3006603833
112	0.3004254547
113	0.3003775095
114	0.3003304794
115	0.3002880798
116	0.3002433047
117	0.3002003046
118	0.2999799219
119	0.2997188812
120	0.2995118881
121	0.2994549661
122	0.299409108
123	0.2993598062
124	0.29908961
125	0.2989366138
126	0.2988143332
127	0.2987742966
128	0.2987266074
129	0.2981960928
130	0.2979396677
131	0.2978302881
132	0.2976098511
133	0.2975658212
134	0.2974071173
135	0.2972218115
136	0.2969510638
137	0.2968878564
138	0.2968419122
139	0.2966233389
140	0.2963074265
141	0.2962161243
142	0.295956821
143	0.2956579446
144	0.29560957
145	0.2954940222
146	0.2954515878
147	0.2951000146
148	0.2949253409
149	0.2947436746
150	0.2946369104
151	0.294482998
152	0.2944466119
153	0.294409339
154	0.2943304538
155	0.2942883502
156	0.2939192209
157	0.2938761121
158	0.2938236142
159	0.2936475998
160	0.2936034296
161	0.2935543668
162	0.2934956497
163	0.2933459811
164	0.2931927667
165	0.2931622961
166	0.2931235199
167	0.2930877103
168	0.2929246228
169	0.2928794485
170	0.2928381848
171	0.2928091882
172	0.2927132553
173	0.2926301324
174	0.2925090479
175	0.2924322861
176	0.2922711987
177	0.2922512959
178	0.2920084814
179	0.2919768726
180	0.2918342209
181	0.2916809019
182	0.2916526852
183	0.2916160629
184	0.2914779637
185	0.2914434839
186	0.2913391782
187	0.2911779465
188	0.291071283
189	0.2909945886
190	0.2909511938
191	0.2908960654
192	0.2908558473
193	0.2908289287
194	0.2907366191
195	0.290553709
196	0.290398266
197	0.2902668271
198	0.2901776718
199	0.2901439111
200	0.2901187892
201	0.290015325
202	0.2899745305
203	0.2897434427
204	0.2897045531
205	0.2895969997
206	0.2895752858
207	0.289544718
208	0.2893768188
209	0.2893468578
210	0.2893305702
211	0.2891242422
212	0.2890935059
213	0.2889172821
214	0.2888205569
215	0.2887888548
216	0.2887646608
217	0.2887366385
218	0.288683416
219	0.2886558398
220	0.2886367181
221	0.2886030208
222	0.2885131827
223	0.2884731813
224	0.2884329974
225	0.2883951103
226	0.2883561166
227	0.2883408646
228	0.2883063664
229	0.288273532
230	0.2882524736
231	0.2882289067
232	0.2882062006
233	0.2881449457
234	0.2881214108
235	0.288081812
236	0.2880012791
237	0.2879646677
238	0.2879315607
239	0.2879146477
240	0.2878958159
241	0.2878605785
242	0.2877639008
243	0.2877392265
244	0.287661676
245	0.2876336885
246	0.2876030676
247	0.2875734755
248	0.2875413795
249	0.2875187491
250	0.2874928065
251	0.2874565823
252	0.2874315533
253	0.2874026149
254	0.2873267087
255	0.2871878075
256	0.2871621429
257	0.2870778032
258	0.2870448813
259	0.2870140767
260	0.2869879518
261	0.286960508
262	0.2869255896
263	0.2868997269
264	0.2868693266
265	0.2867978384
266	0.2867712842
267	0.286671396
268	0.2866398282
269	0.2866127335
270	0.2865962454
271	0.2864562996
272	0.2864322687
273	0.286409724
274	0.2863838426
275	0.28634714
276	0.2863175429
277	0.2862954071
278	0.2862705862
279	0.2862434976
280	0.2862234793
281	0.2861901913
282	0.2860676529
283	0.2860329462
284	0.2859711057
285	0.2859444545
286	0.2859076376
287	0.2858778661
288	0.2856299382
289	0.2855607074
290	0.2855322206
291	0.2854978273
292	0.2854702985
293	0.2854362057
294	0.2853315465
295	0.2853073126
296	0.2852780965
297	0.2852493279
298	0.2852208311
299	0.2851970909
300	0.2851578426
301	0.2851120895
302	0.2850806239
303	0.2850582166
304	0.2849744476
305	0.2848960884
306	0.2848815306
307	0.2848456372
308	0.2848098779
309	0.2847522195
310	0.2847210645
311	0.2846962912
312	0.2846542879
313	0.2846323923
314	0.2846065163
315	0.2845864436
316	0.2845610458
317	0.2845305096
318	0.2845143033
319	0.2844839449
320	0.2843744299
321	0.2843070444
322	0.28428383
323	0.284268768
324	0.2842070941
325	0.2841833922
326	0.2841506891
327	0.2840949594
328	0.2840780476
329	0.2840614778
330	0.2840462044
331	0.2840153969
332	0.283999348
333	0.2838810449
334	0.2838590141
335	0.2838347731
336	0.2838052556
337	0.2837748761
338	0.2837474828
339	0.283714894
340	0.2836924042
341	0.2836640195
342	0.2836437642
343	0.2836282614
344	0.2835213464
345	0.2835051915
346	0.2834947638
347	0.2833726804
348	0.2833551205
349	0.2832936612
350	0.2832736905
351	0.2832542488
352	0.2832252824
353	0.283209081
354	0.2831763324
355	0.2831582404
356	0.2831390837
357	0.2831164426
358	0.2830894246
359	0.283068979
360	0.2830447504
361	0.2830166989
362	0.2829875177
363	0.2829263567
364	0.2828980325
365	0.2828771394
366	0.2828412547
367	0.2828221555
368	0.2828013399
369	0.2827766539
370	0.2827588138
371	0.2827354903
372	0.2826975485
373	0.2826397676
374	0.2826238573
375	0.2826055989
376	0.2825940796
377	0.2825680258
378	0.282548344
379	0.282497164
380	0.2824735524
381	0.2824443517
382	0.28241306
383	0.2823868927
384	0.2823599049
385	0.2823337953
386	0.2823172086
387	0.2822910287
388	0.2822195016
389	0.2821959138
390	0.282187739
391	0.2821646216
392	0.2821435471
393	0.2821217386
394	0.2821060542
395	0.2820935947
396	0.2820790054
397	0.282061749
398	0.2820427138
399	0.2820230305
400	0.2819890688
401	0.281967749
402	0.2819572551
403	0.2819275284
404	0.2818988857
405	0.2818652072
406	0.2818285535
407	0.2818046765
408	0.2817829079
409	0.2817653542
410	0.2817373068
411	0.2817138844
412	0.2816597165
413	0.2816425987
414	0.2816194489
415	0.2816030933
416	0.2815724936
417	0.2815527135
418	0.2815400848
419	0.2815035037
420	0.2814874345
421	0.2814709383
422	0.2814542336
423	0.281428857
424	0.281415956
425	0.2813963487
426	0.2813793565
427	0.2813593513
428	0.2813419041
429	0.2813170215
430	0.2813006337
431	0.2812713821
432	0.2812420412
433	0.2812215591
434	0.2811969589
435	0.2811789053
436	0.2811324532
437	0.2811205873
438	0.2810930499
439	0.2810592221
440	0.2809598099
441	0.2809348651
442	0.2809047153
443	0.2808930461
444	0.2808706987
445	0.2808578636
446	0.2808358032
447	0.2808145558
448	0.2807703087
449	0.2807475566
450	0.280717419
451	0.2806938626
452	0.2806726231
453	0.2806492255
454	0.2806229901
455	0.2805924878
456	0.2805582607
457	0.2805329143
458	0.2805041507
459	0.2804641426
460	0.280443558
461	0.280423513
462	0.2804010579
463	0.2803835776
464	0.2803540332
465	0.2803241142
466	0.2803036464
467	0.2802886911
468	0.2802621021
469	0.2802424121
470	0.280216944
471	0.2801956967
472	0.2801780667
473	0.2801609035
474	0.280134355
475	0.2801177586
476	0.2800965271
477	0.2800784605
478	0.280061152
479	0.2800398997
480	0.2800133525
481	0.2799948351
482	0.2799836862
483	0.2799608093
484	0.2799387907
485	0.279921098
486	0.2798953276
487	0.2798711794
488	0.2798450526
489	0.2798061723
490	0.2797789853
491	0.2797640822
492	0.2797334285
493	0.2796998508
494	0.2796767357
495	0.2796536536
496	0.27963638
497	0.279618261
498	0.2795950296
499	0.2795838406
500	0.2795579836
501	0.2795342079
502	0.2795164812
503	0.2794892953
504	0.27946286
505	0.2794516968
506	0.2794366858
507	0.2794233736
508	0.2793929024
509	0.2793718581
510	0.2793557297
511	0.2793311725
512	0.2793150993
513	0.2792960251
514	0.2792746681
515	0.2792606032
516	0.2792471977
517	0.2792244684
518	0.279198974
519	0.2791534123
520	0.2791438844
521	0.2791179753
522	0.2790979726
523	0.2790714359
524	0.279047056
525	0.2790197166
526	0.2789947861
527	0.2789751285
528	0.2789501704
529	0.2789328879
530	0.2789235417
531	0.2789044728
532	0.2788831189
533	0.2788654623
534	0.2788142361
535	0.2787959741
536	0.2787723793
537	0.2787571432
538	0.2787510886
539	0.2787086957
540	0.2786966669
541	0.2786709979
542	0.2786216341
543	0.2786016318
544	0.2785812454
545	0.2785429248
546	0.2785229785
547	0.2785063472
548	0.2784786118
549	0.2784503766
550	0.278436494
551	0.2784167876
552	0.2784027658
553	0.2783785069
554	0.278358376
555	0.2783200681
556	0.2783051851
557	0.2782943843
558	0.2782738354
559	0.2782549469
560	0.278224238
561	0.2782053781
562	0.2781842079
563	0.2781724866
564	0.2781496808
565	0.278125117
566	0.2780834532
567	0.278060815
568	0.2780425505
569	0.2779815874
570	0.2779700528
571	0.2779280672
572	0.2779126218
573	0.2778983577
574	0.2778850101
575	0.2778696931
576	0.2778495056
577	0.2778296373
578	0.2777778551
579	0.2776890759
580	0.277616109
581	0.2775848872
582	0.2775687169
583	0.2775494417
584	0.2775184312
585	0.2774598909
586	0.2774476494
587	0.2774153979
588	0.2774017064
589	0.2773830856
590	0.277360493
591	0.277346906
592	0.2773281496
593	0.2773065408
594	0.2772899704
595	0.277259151
596	0.2772356557
597	0.2772183104
598	0.27720464
599	0.2771859612
600	0.2771707425
601	0.2771541634
602	0.277141958
603	0.2771208525
604	0.2771003871
605	0.277083743
606	0.2770613004
607	0.2770464781
608	0.2770195718
609	0.2770091595
610	0.2769889284
611	0.2769746471
612	0.2769433031
613	0.276906978
614	0.2768953197
615	0.2768531343
616	0.2768371895
617	0.276823378
618	0.2768120518
619	0.2767908893
620	0.2767781696
621	0.2767591118
622	0.2767461002
623	0.2767026752
624	0.2766878427
625	0.2766648326
626	0.2766478259
627	0.2766286035
628	0.2766203899
629	0.2765950005
630	0.2765657867
631	0.2765495493
632	0.2765408867
633	0.2765263597
634	0.2765036649
635	0.2764904175
636	0.2764686494
637	0.2764557957
638	0.2764367406
639	0.2764169621
640	0.2763930852
641	0.2763744968
642	0.2763574139
643	0.2763341357
644	0.2762527669
645	0.2762290926
646	0.2762083871
647	0.2761882594
648	0.2761705057
649	0.2761495403
650	0.2761311243
651	0.2761058408
652	0.2760854482
653	0.2760162213
654	0.2760039983
655	0.275988755
656	0.2759637991
657	0.275949583
658	0.2759352466
659	0.2759215674
660	0.2759052898
661	0.2758961157
662	0.2758598135
663	0.2758353766
664	0.2758140694
665	0.2757829761
666	0.2757649898
667	0.2757472453
668	0.2757318845
669	0.2757043155
670	0.2756872241
671	0.2756640381
672	0.2756467996
673	0.2756261966
674	0.2756083405
675	0.275590573
676	0.2755706897
677	0.2755471458
678	0.2755350861
679	0.2755139838
680	0.2754984833
681	0.2754801154
682	0.27546373
683	0.2754403743
684	0.2754314919
685	0.2754249478
686	0.2753958302
687	0.2753719525
688	0.2753617314
689	0.2753418086
690	0.2753303114
691	0.2753125894
692	0.2752877541
693	0.2752636607
694	0.2752517628
695	0.2752340944
696	0.2752158592
697	0.2752069917
698	0.2751848657
699	0.275174633
700	0.2751539626
701	0.2751354994
702	0.2751151042
703	0.2751040131
704	0.2750754617
705	0.2750595102
706	0.2750521692
707	0.2750288448
708	0.2750045737
709	0.2749792621
710	0.2749340022
711	0.274910773
712	0.2748849091
713	0.2748693323
714	0.2748508728
715	0.2748402951
716	0.2747940158
717	0.2747628767
718	0.2747466109
719	0.2747342455
720	0.2747137805
721	0.2746958273
722	0.2746809926
723	0.2746645439
724	0.2746389354
725	0.2745824161
726	0.2745595868
727	0.2745489331
728	0.2745381012
729	0.2745259697
730	0.2745094203
731	0.2744970128
732	0.274468145
733	0.2744458292
734	0.2744337784
735	0.2744215923
736	0.274399958
737	0.2743808803
738	0.2743683789
739	0.2743470651
740	0.2743213873
741	0.2743026361
742	0.2742844388
743	0.2742624519
744	0.274240309
745	0.2742176332
746	0.2741676886
747	0.2741522639
748	0.2741258604
749	0.2741153442
750	0.2740963416
751	0.2740762105
752	0.2740407077
753	0.2740137932
754	0.2739929712
755	0.2739670894
756	0.2739578831
757	0.2739415416
758	0.2739251642
759	0.2739112762
760	0.2738999031
761	0.2738787593
762	0.2738586696
763	0.273847507
764	0.2738280736
765	0.2738162947
766	0.2737951572
767	0.2737772176
768	0.2737628825
769	0.2737424171
770	0.2737252426
771	0.2737013399
772	0.2736793027
773	0.2736502783
774	0.2736339246
775	0.2736082858
776	0.2735934592
777	0.2735867284
778	0.2735680624
779	0.2735472124
780	0.2735332748
781	0.2735146062
782	0.2735003862
783	0.2734914673
784	0.2734783948
785	0.2734631219
786	0.2734441335
787	0.2734353421
788	0.2734248332
789	0.2734082446
790	0.2733876324
791	0.2733691948
792	0.273357213
793	0.2733334706
794	0.2733130228
795	0.2732924849
796	0.2732760966
797	0.2732455075
798	0.2732319595
799	0.2732183914
800	0.2731988997
801	0.2731880638
802	0.2731741913
803	0.2731637163
804	0.2731571106
805	0.2731394167
806	0.2731280507
807	0.2731072757
808	0.2730882295
809	0.2730667969
810	0.2730534634
811	0.2730441188
812	0.2730278069
813	0.2730035553
814	0.2729900902
815	0.2729777585
816	0.272954173
817	0.2729366667
818	0.2729216948
819	0.2729036285
820	0.27288448
821	0.2728781506
822	0.272857227
823	0.2728486795
824	0.2728258066
825	0.272803394
826	0.2727556447
827	0.2727305975
828	0.2727151669
829	0.2726926904
830	0.2726709
831	0.2726503558
832	0.2726400876
833	0.2726271298
